Table: Table_1

Mesa Número ,1182 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,010 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,033 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,106 ,,
30 ,PARTIDO REPUBLICANO {PR) ,001 ,,
31 ,CAMBIO (CAMBIO) ,003 ,,
32 ,PARTIDO AZUL (AZUL) ,011 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,000 ,,
18 ,VICTORIA (VICTORIA) ,002 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 ,0 ,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,6 ,
37 ,UNION REPUBLICANA (UR) ,002 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN} ,00 ,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,00 ,/ ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,000 ,,
80 ,COVITE CIVICO LA GOTA DE AGUA {COMITE CIVICO LA GOTA DE AGUAT ,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,00 ,/ ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,04 ,/ ,
12 ,MI FAMILIA (MI FAMILIA) ,00 ,0 ,
33 ,CABAL (CASAL) ,00 ,/ ,
17 ,VISION CON VALORES (VIVA) ,002 ,,
22 ,PODEMOS (PODEMOS) ,008 ,,
115 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,000 ,,
20 ,COMPROMISO. RENOVACION Y ORDEN (CREO) ,081 ,2 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones politicas) ,,318 ,,
Votos Nulos ,,011 ,,
Votos en Blanco ,,00 ,,
Total Votos Validamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en bianco) ,,329 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es to sumo de los votos vúlidamente emitidos y votos invólidos) ,3 ,2 ,9 ,





