Table: Table_1

Mesa Número ,1189 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por las organizaciones políticas) ,2 ,4 ,7 ,
Votos Nulos ,,01 ,7 ,
Votos en Blanco ,,000 ,,
Total Votos Válidamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blonco) ,2 ,6 ,4 ,
Votos Inválidos ,,000 ,,
Total Votos (Es to sumo de los votos válidamente emitidos y votos inválidos) ,,264 ,,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,o ,1 ,2. ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,1 ,9 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,7 ,b ,
30 ,PARTIDO REPUBLICANO (PR) ,,0 ,o ,
31 ,CAMBIO (CAMBIO) ,o ,0 ,2 ,
32 ,PARTIDO AZUL (AZUL) ,,1 ,o ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,0 ,2 ,
18 ,VICTORIA (VICTORIA) ,,002 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,o ,0 ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,00 ,5 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,o ,6 ,
37 ,UNION REPUBLICANA (UR) ,,0 ,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,0 ,o ,0 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,00 ,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL {FCN-NACION ,,000 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,J ,0 ,1 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,002 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,04 ,4 ,
12 ,MI FAMILIA (MI FAMILIA) ,0 ,U ,L ,
33 ,CABAL (CABAL) ,0 ,0 ,5 ,
17 ,VISION CON VALORES (VIVA) ,,000 ,,
22 ,PODEMOS (PODEMOS) ,,007 ,,
116 ,PARTIDO DE OPDRTUNIDADES Y DESARROLLO (RODER) ,,001 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,0 ac ,5 ,3 ,





