Table: Table_1

Mesa Número ,102 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombie y Siglas ,Votos ,Válidos ,,
23 ,TODOS(TODOS) /011/ ,,,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) 1025/ ,,Q ,8 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,6 ,3 ,
30 ,PARTIDO REPUBLICANO (PR) ,,002 ,,
31 ,CAMBIO (CAMBIO) ,,002 ,,
32 ,PARTIDO AZUL (AZUL) ,0 ,O ,8 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,1 ,
18 ,VICTORIA (VICTORIA) ,0 ,0 ,7 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,005 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,000 ,,
26 ,BIENESTAR NACIONAL (BIEN) ,0 ,0 ,3 ,
37 ,UNION REPUBLICANA (UR) ,,0 ,I ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,I ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,001 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,\ ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,000 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,005 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,,4 ,8 ,
12 ,MI FAMILIA (MI FAMILIA) ,0 ,0 ,2 ,
33 ,CABAL (CABAL) ,,002 ,,
17 ,VISION CON VALORES (VIVA) ,0 ,0 ,4 ,
22 ,PODEMOS (PODEMOS) ,0 ,1 ,1 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,,,
20 ,COMPROMISO. RENOVACION Y ORDEN (CREO) ,0 ,5 ,9 ,





Table: Table_3

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es lo sumo de los votos obtenidos por las organizaciones politicas) ,,262 ,,
Votos Nulos ,0 ,I ,6 ,
Votos en Blanco ,,00 ,3 ,
Total Votos Validamente Emitidos (Es la sump de los votos vólidos, votos nulos y votos en blanco) ,,281 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es to sump de los votos válidamente emitidos y votos inválidos) ,2 ,8 ,1 ,





