Table: Table_1

Mesa Número ,106 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre Y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,1 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,20 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,,
30 ,PARTIDO REPUBLICANO (PR) ,00 ,2 ,
31 ,CAMBIO (CAMBIO) ,00 ,7 ,
32 ,PARTIDO AZUL (AZUL ,009 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,000 ,,
18 ,VICTORIA (VICTORIA) ,006 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,00 ,9 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 ,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,00 ,,
37 ,UNION REPUBLICANA (UR) ,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PA N) ,003 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,001 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,001 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,001 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,001 ,,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,034 ,,
12 ,MI FAMILIA (MI FAMILIA) ,000 ,,
33 ,CABAL (CABAL) ,00 ,,
17 ,VISION CON VALORES (VIVA) ,002 ,,
22 ,PODEMOS (PODEMOS) ,012 ,,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,001 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO ,041 ,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones políticas} ,,212 ,,
Votos Nulos ,,019 ,,
Votos en Blanco ,,001 ,,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanco) ,,232 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la sumo de los votos válidamente emitidos y votos involidos) ,,232 ,,





