Table: Table_1

Mesa Número ,1204 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,0 1 ,6 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,2 ,2 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,08 ,3 ,
30 ,PARTIDO REPUBLICANO (PR) ,00 ,1 ,
31 ,CAMBIO (CAMBIO) ,001 ,,
32 ,PARTIDO AZUL (AZUL) ,010 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,00 ,1 ,
18 ,VICTORIA (VICTORIA) ,004 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,003 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,
26 ,BIENESTAR NACIONAL (BIEN) ,,1 ,
37 ,UNION REPUBLICANA (UR) ,,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,$00 ,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,000 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,005 ,,
B8 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,038 ,,
12 ,MI FAMILIA (MI FAMILIA) ,,,
33 ,CABAL (CABAL) ,,,
17 ,VISION CON VALORES (VIVA) ,204 ,,
22 ,PODEMOS (PODEMOS) ,,203 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,02 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones políticas) ,,268 ,,
Votos Nulos ,,025 ,,
Votos en Blanco ,,00 ,1 ,
Total Votos Válidamente Emitidos (Es to sumo de los votos válidos, votos nulos y votos en blanco) ,,294 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos válidamente emitidos y votos inválidos) ,,294 ,,





