Table: Table_1

Mesa Número ,1243 ,o ,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,,Corporación Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,() ,,a ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,2 ,2 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,O ,5 ,1 ,
30 ,PARTIDO REPUBLICANO (PR) ,O ,O ,1 ,
31 ,CAMBIO (CAMBIO) ,O ,0 ,2 ,
32 ,PARTIDO AZUL (AZUL) ,C ,( ,5 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,O ,O ,() ,
18 ,VICTORIA (VICTORIA) ,,() ,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,( ,U ,6 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,() ,O ,( ,
26 ,BIENESTAR NACIONAL (BIEN) ,O ,O ,4 ,
37 ,UNION REPUBLICANA (UR) ,O ,O ,2 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P A N) ,() ,0 ,C ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,O ,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL {FCN-NACION ,O ,O ,1 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,() ,2 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,O ,O ,C ,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,O ,3 ,6 ,
12 ,MI FAMILIA (MI FAMILIA) ,O ,(i ,2 ,
33 ,CABAL (CABAL) ,() ,C ,( ,
17 ,VISION CON VALORES (VIVA) ,() ,O ,2 ,
22 ,PODEMOS (PODEMOS) ,O ,1 ,3 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,O ,O ,1 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,O ,7 ,4 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticas) ,,238 ,,
Votos Nulos ,,012 ,,
Votos en Blanco ,() ,,2 ,
Total Votos Válidamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blanco) ,2 ,5 ,2 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos vólidamente emitidos y votos inválidos) ,,252 ,,





