Table: Table_1

Mesa Número ,1282 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la suma de los votos obtenidos por los organizaciones políticas) ,\ ,7 ,4 ,
Votos Nulos ,,009 ,,
Votos en Blanco ,,000 ,,
Total Votos Validamente Emitidos (Es to suma de los votos vólidos, votos nutos y votos en blanco) ,,183 ,,
Votos Inválidos ,,OCC ,,
Total Votos (Es to sumo de los votos válidamente emitidos y votos invólidos) ,,181 ,3. ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,002 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,() ,I ,7 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,- ,\ ,1-1 ,
30 ,PARTIDO REPUBLICANO (PR) ,L. ,( ,\ ,
31 ,CAMBIO (CAMBIO) ,( ,C ,\ ,
32 ,PARTIDO AZUL (AZUL) ,( ,O ,3, ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,( ,0 ,O ,
18 ,VICTORIA (VICTORIA) ,C ,C ,3 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,( ,C ,2 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,C ,C ,\ ,
26 ,BIENESTAR NACIONAL (BIEN) ,O ,C ,3 ,
37 ,UNION REPUBLICANA (UR) ,( ,U ,( ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,( ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,C ,[ ,0 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,? ,O ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,L ,1. ,U ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,C ,( ,4 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,i ,it ,9 ,
12 ,MI FAMILIA (M) FAMILIA) ,C ,,( ,
33 ,CABAL (CABAL) ,C ,C ,() ,
17 ,VISION CON VALORES (VIVA) ,( ,C ,4 ,
22 ,PODEMOS (PODEMOS) ,r ,() ,8 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,( ,( ,I ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,( ,5 ,9 ,





