Table: Table_1

Mesa Número ,1291 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es to sumo de los votos obtenidos por los organizaciones politicas) ,,203 ,,
Votos Nulos ,0 ,1 ,2 ,
Votos en Blanco ,,00 ,3 ,
Total Votos Validamente Emitidos (Es la sumo de los votos vólidas, votos nulos y votos en blanco) ,,,8 ,
Votos Inválidos ,,000 ,,
Total Votos (Es la suma de los votos válidomente emitidos y votos invólidos) ,,21 ,8 ,





Table: Table_3

Código ,Nombre y Siglas ,Votos Válidos ,,
23 ,TODOS (TODOS) ,003 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,1 ,7 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,4 ,0 ,
30 ,PARTIDO REPUBLICANO (PR) ,00 ,1 ,
31 ,CAMBIO (CAMBIO) ,100 ,,
32 ,PARTIDO AZUL (AZUL) ,005 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,2 ,
18 ,VICTORIA (VICTORIA) ,,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,9 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,00 ,1 ,
26 ,BIENESTAR NACIONAL (BIEN) ,,7 ,
37 ,UNION REPUBLICANA (UR) ,00 ,a ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,00 ,4 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,000 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,1 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,00 ,4 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,O 2 ,4 ,
12 ,MI FAMILIA (MI FAMILIA) ,402 ,,
33 ,CABAL (CABAL) ,003 ,,
17 ,VISION CON VALORES (VIVA) ,007 ,,
22 ,PODEMOS (PODEMOS) ,01 ,2 ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,00 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,4 ,6 ,





