Table: Table_1

Mesa Número ,1298 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre Y Sigias ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,0 ,4 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,0 ,2 ,1 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,5 ,0 ,
30 ,PARTIDO REPUBLICANO (PR) ,0 ,0 ,0 ,
31 ,CAMBIO (CAMBIO) ,0 ,0 ,3 ,
32 ,PARTIDO AZUL (AZUL) ,0 ,0 ,1 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,0 ,0 ,2 ,
18 ,VICTORIA (VICTORIA) ,0 ,0 ,2 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,0 ,0 ,4 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,0 ,0 ,
26 ,BIENESTAR NACIONAL (BIEN) ,0 ,0 ,3 ,
37 ,UNION REPUBLICANA (UR) ,0 ,0 ,0 ,
25 ,PARTIDO DE AVANZADA NACIONAL (P AN) ,0 ,0 ,1 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,0 ,0 ,1 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,0 ,0 ,0 ,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,0 ,0 ,1 ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,0 ,0 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,0 ,3 ,4 ,
12 ,MI FAMILIA (MI FAMILIA) ,0 ,0 ,2 ,
33 ,CABAL (CABAL) ,0 ,0 ,5 ,
17 ,VISION CON VALORES (VIVA) ,,0 ,6 ,
22 ,PODÉMOS (PODEMOS) ,,0 ,6 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,00 ,1 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO ) ,0 ,7 ,0 ,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
,,,,
Total Votos Válidos (Es to sumo de los votos obtenidos por los organizaciones politicas) ,2 ,1 ,7 ,
Votos Nulos ,,018 ,,
Votos en Blanco ,,001 ,,
Total Votos Válidamente Emitidos (Es la suma de los votos vólidos, votos nulos y votos en blanco) ,2 ,3 ,6 ,
Votos Inválidos ,,000 ,,
Total Votos (Es lo sumo de los votos vólidamente emitidos y votos invólidos) ,2 ,3 ,6 ,





