Table: Table_1

Mesa Número ,1312 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por las organizaciones politicas) ,1 ,1 ,to ,
Votos Nulos ,U ,2 ,2 ,
Votos en Blanco ,,00 ,1 ,
Total Votos Válidamente Emitidos (Es la sumo de los votos válidos, votos nulos y votos en blanco) ,,22 ,C ,
Votos Inválidos ,,00 ,C ,
Total Votos (ES la sumo de los votos válidomente emitidos y votos invólidos) ,2 ,2 ,U ,





Table: Table_3

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,U ,is ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,C ,2 ,it ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,0 ,2 ,2 ,
30 ,PARTIDO REPUBLICANO (PR) ,( ,U ,D ,
31 ,CAMBIO (CAMBIO) ,O ,O ,I ,
32 ,PARTIDO AZUL (AZUL) ,O ,C ,2 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,a ,0 ,o ,
18 ,VICTORIA (VICTORIA) ,,00 ,3 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,a ,0 ,3 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,C ,0 ,C ,
25 ,BIENESTAR NACIONAL (BIEN) ,U ,0 ,1 ,
37 ,UNION REPUBLICANA (UR) ,O ,0 ,1 ,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,6 ,C ,2 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,O ,C ,O ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,6 ,a ,( ,
BO ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,o ,C ,O ,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,CC ,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAQ) ,U ,2 ,7 ,
12 ,MI FAMILIA (MI FAMILIA) ,U ,C ,2 ,
33 ,CABAL (CABAL ,I ,0 ,1 ,
17 ,VISION CON VALORES (VIVA) ,L ,U ,L ,
22 ,PODEMOS (PODEMOS) ,U ,6 ,a ,
116 ,PARTIDO DE OPORTUNIDADES DESARROLLO (PODER) ,,U ,( ,
20 ,COMPROMISO. RENOVACION y ORDEN (CREO : ,,,9 ,





